"","name","address","rating","lon","lat","subway","subway_dist","busstop","busstop_dist","href"
"36","ВкусВилл","просп. Просвещения, 78, Санкт-Петербург, Россия",4.3,"30.403831","60.03927","Гражданский проспект",1000,"Улица Брянцева",150,"https://yandex.ru/maps/org/vkusvill/73400226828/"
"37","Технолог","бул. Менделеева, 9, корп. 1, Мурино, Россия",4.2,"30.42976","60.052582","Девяткино",800,"ЖК GreenЛандия",200,"https://yandex.ru/maps/org/tekhnolog/87686875957/"
"38","ВкусВилл","ул. Аккуратова, 13, Санкт-Петербург, Россия",4.6,"30.310793","60.016186","Удельная",460,"Станция Удельная",110,"https://yandex.ru/maps/org/vkusvill/183524181004/"
"39","Верный","Воронцовский бул., 14, корп. 1, Мурино, Россия",4,"30.424349","60.061071","Девяткино",2000,"Петровский бульвар",200,"https://yandex.ru/maps/org/verny/6959956874/"
"40","Красный дракон","просп. Энгельса, 113, корп. 2, Санкт-Петербург, Россия • 2 минуты от ст. м. Озерки, за (Пактор), ТЦ Бада-Бум",4.8,"30.326668","60.037921","Озерки",400,"Станция метро Озерки",290,"https://yandex.ru/maps/org/krasny_drakon/1035563998/"
"41","Колхоз","просп. Просвещения, 69, Санкт-Петербург, Россия",4.3,"30.397721","60.03951","Гражданский проспект",NA,"Проспект Просвещения",20,"https://yandex.ru/maps/org/kolkhoz/1698292843/"
"42","Супер Лента","ул. Шувалова, 1, Мурино, Россия",4.3,"30.42245","60.050455","Девяткино",NA,"Охтинская аллея",73,"https://yandex.ru/maps/org/super_lenta/1774377395/"
"43","Колхоз","Европейский просп., 8, Кудрово, Россия",4.9,"30.512675","59.900875","Улица Дыбенко",NA,"Венская улица",68,"https://yandex.ru/maps/org/kolkhoz/115089424766/"
"44","Градусы","бул. Менделеева, 7, Мурино, Россия",4.1,"30.431796","60.052187","Девяткино",680,"Брачнев ручей",150,"https://yandex.ru/maps/org/gradusy/134633796384/"
"45","Супер Лента","Привокзальная площадь, 3Б, Мурино, Россия",4.3,"30.446135","60.052787","Девяткино",330,"Станция метро Девяткино",300,"https://yandex.ru/maps/org/super_lenta/1634602586/"
"46","Колхоз","Петровский бул., 2, корп. 1, Мурино, Россия",4,"30.439252","60.056238","Девяткино",780,"Петровский бульвар",98,"https://yandex.ru/maps/org/kolkhoz/33052287368/"
"47","Продуктория","ул. Шоссе в Лаврики, 59, корп. 1, Мурино, Россия",4.2,"30.465081","60.061454","Девяткино",NA,"Улица Шоссе в Лаврики, 57",530,"https://yandex.ru/maps/org/produktoriya/97250959943/"
"48","Верный","ул. Шоссе в Лаврики, 57, корп. 1, Мурино, Россия • подъезд 1",4.1,"30.458051","60.060291","Девяткино",2000,"Улица Шоссе в Лаврики, 57",280,"https://yandex.ru/maps/org/verny/148302147975/"
"49","Metro Cash & Carry","Комендантский просп., 3, Санкт-Петербург, Россия",4.6,"30.26868","60.002202","Комендантский проспект",NA,"Туполевская улица",360,"https://yandex.ru/maps/org/metro_cash_carry/1007460870/"
"50","Bravomarket 24","ул. Шувалова, 27/7, Мурино, Россия",4.1,"30.4346","60.065663","Девяткино",NA,"Улица Шувалова, 27/7",170,"https://yandex.ru/maps/org/bravomarket_24/223865904057/"
"51","ВкусВилл","просп. Авиаторов Балтики, 11/1, Мурино, Россия",4.3,"30.440159","60.055111","Девяткино",750,"Петровский бульвар",100,"https://yandex.ru/maps/org/vkusvill/43350288416/"
"52","Индийские специи ""Виджай""","ул. Восстания, 22, Санкт-Петербург, Россия",5,"30.360246","59.938031","Площадь Восстания",750,"Ковенский переулок",100,"https://yandex.ru/maps/org/indiyskiye_spetsii_vidzhay_/1204009474/"
"53","Оливия","Гражданский просп., 24, Санкт-Петербург, Россия",4.4,"30.388395","60.004653","Академическая",NA,"Политехнический университет",120,"https://yandex.ru/maps/org/oliviya/144795848582/"
"54","Градусы","Воронцовский бул., 17, Мурино, Россия",3.8,"30.423793","60.062635","Девяткино",NA,"Графская улица",180,"https://yandex.ru/maps/org/gradusy/196501791483/"
"55","ВкусВилл","Муринская дорога, 55, корп. 1, Санкт-Петербург, Россия",4.3,"30.457946","60.032861","Девяткино",NA,"Школа № 147",190,"https://yandex.ru/maps/org/vkusvill/108066510736/"
"56","Градусы","Шоссейная ул., 5, посёлок Бугры, Россия",4.3,"30.393757","60.068143","Девяткино",4000,"Бугры-1",41,"https://yandex.ru/maps/org/gradusy/147523851642/"
"57","Воздух","Гжатская ул., 22, корп. 3, Санкт-Петербург, Россия",4.6,"30.387626","60.012647","Академическая",740,"Проспект Науки, 10",340,"https://yandex.ru/maps/org/vozdukh/116770537109/"
"58","Мясной № 1","бул. Менделеева, 1/2, Мурино, Россия",4.3,"30.437863","60.051381","Девяткино",310,"Станция метро Девяткино",190,"https://yandex.ru/maps/org/myasnoy_1/11247539421/"
"59","Перекрёсток","просп. Просвещения, 74, корп. 2, Санкт-Петербург, Россия",4.4,"30.38938","60.042226","Гражданский проспект",NA,"Улица Ольги Форш",170,"https://yandex.ru/maps/org/perekryostok/150459387202/"
"60","Красный дракон","Боровая ул., 3, Санкт-Петербург, Россия • 5 мин. от ст. м. Владимирская/Достоевская или Лиговский пр",4.9,"30.348468","59.922888","Лиговский проспект",550,"Разъезжая улица",190,"https://yandex.ru/maps/org/krasny_drakon/1002959151/"
"61","ВкусВилл","Богословская ул., 4, корп. 1, Санкт-Петербург, Россия",4.4,"30.378329","59.984385","Лесная",NA,"Лабораторный проспект, 25",830,"https://yandex.ru/maps/org/vkusvill/49021655136/"
"62","Вкусный фермер","ул. Шувалова, 13/10, Мурино, Россия",3.7,"30.428491","60.058631","Девяткино",NA,"Улица Шувалова",110,"https://yandex.ru/maps/org/vkusny_fermer/209841522581/"
"63","Магнит Семейный","Кушелевская дорога, 1к1, Санкт-Петербург, Россия • корпус 1, строение 1",4.4,"30.367525","59.986762","Лесная",NA,"Проспект Маршала Блюхера",200,"https://yandex.ru/maps/org/magnit_semeyny/205832516261/"
"64","Хлебчик","ул. Бутлерова, 9, корп. 2, Санкт-Петербург, Россия",4.6,"30.400387","60.002535","Академическая",NA,"Дворец спортивных игр Зенит",240,"https://yandex.ru/maps/org/khlebchik/176246238134/"
"65","Перекрёсток","просп. Маршала Блюхера, 41, Санкт-Петербург, Россия",4.4,"30.407927","59.975279","Выборгская",NA,"Замшина улица",300,"https://yandex.ru/maps/org/perekryostok/47414167521/"
"66","Магнит","бул. Менделеева, 11, корп. 3, Мурино, Россия",4,"30.428365","60.052151","Девяткино",900,"ЖК GreenЛандия",200,"https://yandex.ru/maps/org/magnit/210781867464/"
"67","Семишагофф","Киришская ул., 2А, Санкт-Петербург, Россия",4.1,"30.425581","60.033674","Гражданский проспект",530,"Проспект Просвещения, 106",100,"https://yandex.ru/maps/org/semishagoff/1302479650/"
"68","Халяль","бул. Менделеева, 1/1, Мурино, Россия",3.9,"30.43751","60.051339","Девяткино",320,"Станция метро Девяткино",200,"https://yandex.ru/maps/org/khalyal/129990673854/"
"69","Градусы","Привокзальная площадь, 5А, корп. 3, Мурино, Россия",4,"30.446006","60.051529","Девяткино",210,"Станция метро Девяткино",190,"https://yandex.ru/maps/org/gradusy/1211659557/"
